交易序號,信用卡ID,客戶ID,刷卡日期,刷卡產品產業分類,刷卡類型,刷卡金額,刷卡地點
865,11167,14466,12/21/10,14_旅遊,一般消費,30000,國內
881,12797,19483,12/21/10,15_休閒文化,一般消費,340,國內
884,12989,3044,12/21/10,06_公用事業,一般消費,10,國內
885,12989,3044,12/21/10,06_公用事業,一般消費,40,國內
887,13579,13802,12/21/10,16_無店舖,一般消費,790,國內
889,14636,13687,12/21/10,13_交通(含加值),一般消費,1080,國內
900,18345,10699,12/21/10,06_公用事業,一般消費,984,國內
911,6448,15195,12/22/10,08_精品,一般消費,2380,國內
912,6448,15195,12/22/10,07_百貨,一般消費,2388,國內
922,8915,1809,12/22/10,07_百貨,一般消費,390,國內
926,9387,16756,12/22/10,16_無店舖,一般消費,2740,國內
927,9387,16756,12/22/10,16_無店舖,一般消費,2920,國內
939,12193,10121,12/22/10,03_保險,一般消費,826,國內
940,12193,10121,12/22/10,03_保險,一般消費,1404,國內
945,12989,3044,12/22/10,06_公用事業,一般消費,40,國內
946,12989,3044,12/22/10,06_公用事業,一般消費,90,國內
947,12989,3044,12/22/10,06_公用事業,一般消費,150,國內
950,14636,13687,12/22/10,13_交通(含加值),一般消費,1000,國內
957,18174,1747,12/22/10,03_保險,一般消費,1008,國內
960,41,2027,12/23/10,06_公用事業,一般消費,15,國內
964,1431,5287,12/23/10,07_百貨,一般消費,784,國內
965,1431,5287,12/23/10,07_百貨,一般消費,3591,國內
966,1472,5963,12/23/10,13_交通(含加值),一般消費,115,國內
970,6619,19859,12/23/10,15_休閒文化,一般消費,193,國內
977,10102,6256,12/23/10,12_量販超市,一般消費,1358,國內
978,10102,6256,12/23/10,12_量販超市,一般消費,1561,國內
979,10102,6256,12/23/10,12_量販超市,一般消費,11656,國內
983,12077,6118,12/23/10,13_交通(含加值),一般消費,1610,國內
988,12956,14127,12/23/10,12_量販超市,一般消費,239,國內
989,12989,3044,12/23/10,06_公用事業,一般消費,20,國內
993,14636,13687,12/23/10,11_3C居家電信,一般消費,402,國內
996,15130,5978,12/23/10,13_交通(含加值),一般消費,122,國內
999,17286,17586,12/23/10,13_交通(含加值),一般消費,500,國內
1002,1431,5287,12/24/10,07_百貨,一般消費,95,國內
1003,1431,5287,12/24/10,07_百貨,一般消費,1078,國內
1004,1563,4612,12/24/10,13_交通(含加值),一般消費,91,國內
1006,6619,19859,12/24/10,15_休閒文化,一般消費,86,國內
1016,8905,89,12/24/10,13_交通(含加值),一般消費,1623,國內
1020,10646,19639,12/24/10,13_交通(含加值),一般消費,958,國內
1021,10745,106,12/24/10,13_交通(含加值),一般消費,500,國內
1023,11167,14466,12/24/10,12_量販超市,一般消費,781,國內
1027,12754,3405,12/24/10,13_交通(含加值),一般消費,21000,國內
1029,13327,605,12/24/10,06_公用事業,一般消費,15,國內
1030,13327,605,12/24/10,06_公用事業,一般消費,30,國內
1035,15180,920,12/24/10,15_休閒文化,一般消費,440,國內
1042,18653,9051,12/24/10,13_交通(含加值),一般消費,115,國內
1062,9387,16756,12/27/10,16_無店舖,一般消費,340,國內
1064,9625,4028,12/27/10,11_3C居家電信,一般消費,165,國內
1073,10740,17190,12/27/10,11_3C居家電信,一般消費,129,國內
1074,10740,17190,12/27/10,10_藥妝,一般消費,340,國內
1075,10740,17190,12/27/10,11_3C居家電信,一般消費,383,國內
1076,10740,17190,12/27/10,11_3C居家電信,一般消費,436,國內
1077,10740,17190,12/27/10,11_3C居家電信,一般消費,583,國內
1079,10976,2955,12/27/10,13_交通(含加值),一般消費,1358,國內
1081,11130,19504,12/27/10,09_餐飲,一般消費,300,國內
1082,11130,19504,12/27/10,07_百貨,一般消費,4086,國內
1090,11774,8032,12/27/10,13_交通(含加值),一般消費,1190,國內
1105,12596,4493,12/27/10,13_交通(含加值),一般消費,1035,國內
1109,12754,3405,12/27/10,13_交通(含加值),一般消費,777,國內
1110,12754,3405,12/27/10,11_3C居家電信,一般消費,3098,國內
1117,12989,3044,12/27/10,06_公用事業,一般消費,10,國內
1118,12989,3044,12/27/10,06_公用事業,一般消費,10,國內
1119,12989,3044,12/27/10,06_公用事業,一般消費,20,國內
1120,12989,3044,12/27/10,06_公用事業,一般消費,30,國內
1121,12989,3044,12/27/10,06_公用事業,一般消費,40,國內
1126,13320,4874,12/27/10,11_3C居家電信,一般消費,752,國內
1127,13327,605,12/27/10,06_公用事業,一般消費,20,國內
1128,13327,605,12/27/10,06_公用事業,一般消費,20,國內
1129,13327,605,12/27/10,06_公用事業,一般消費,180,國內
1160,17286,17586,12/27/10,07_百貨,一般消費,590,國內
1161,17286,17586,12/27/10,12_量販超市,一般消費,634,國內
1162,17286,17586,12/27/10,12_量販超市,一般消費,750,國內
1163,17286,17586,12/27/10,13_交通(含加值),一般消費,758,國內
1164,17286,17586,12/27/10,07_百貨,一般消費,1620,國內
1165,17286,17586,12/27/10,07_百貨,一般消費,1999,國內
1166,17495,13863,12/27/10,16_無店舖,一般消費,1397,國內
1167,17495,13863,12/27/10,11_3C居家電信,一般消費,4839,國內
1170,17681,7327,12/27/10,12_量販超市,一般消費,1857,國內
1172,18415,19239,12/27/10,13_交通(含加值),一般消費,612,國內
1174,18653,9051,12/27/10,12_量販超市,一般消費,2705,國內
1178,1563,4612,12/28/10,13_交通(含加值),一般消費,100,國內
1182,8485,773,12/28/10,12_量販超市,一般消費,2522,國內
1188,9387,16756,12/28/10,16_無店舖,一般消費,2128,國內
1191,10102,6256,12/28/10,06_公用事業,一般消費,188,國內
1192,10102,6256,12/28/10,06_公用事業,一般消費,468,國內
1196,11167,14466,12/28/10,12_量販超市,一般消費,223,國內
1210,12797,19483,12/28/10,09_餐飲,一般消費,1914,國內
1212,12989,3044,12/28/10,06_公用事業,一般消費,20,國內
1213,12989,3044,12/28/10,09_餐飲,一般消費,915,國內
1217,13579,13802,12/28/10,16_無店舖,一般消費,980,國內
1219,14229,4210,12/28/10,12_量販超市,一般消費,872,國內
1223,15180,920,12/28/10,13_交通(含加值),一般消費,2471,國內
1225,16097,8927,12/28/10,12_量販超市,一般消費,1194,國內
1226,16097,8927,12/28/10,12_量販超市,一般消費,2767,國內
1229,17286,17586,12/28/10,15_休閒文化,一般消費,358,國內
1230,17286,17586,12/28/10,X2.中信錢加值,一般消費,500,國內
1231,17286,17586,12/28/10,08_精品,一般消費,603,國內
1235,17495,13863,12/28/10,09_餐飲,一般消費,3960,國內
1244,1472,5963,12/29/10,13_交通(含加值),一般消費,120,國內
1249,6448,15195,12/29/10,09_餐飲,一般消費,741,國內
1250,6448,15195,12/29/10,11_3C居家電信,一般消費,1151,國內
1251,6448,15195,12/29/10,07_百貨,一般消費,1782,國內
1252,6826,13687,12/29/10,12_量販超市,一般消費,957,國內
1253,6826,13687,12/29/10,12_量販超市,一般消費,2200,國內
1259,9757,5286,12/29/10,13_交通(含加值),一般消費,1340,國內
1261,11167,14466,12/29/10,08_精品,一般消費,249,國內
1267,11774,8032,12/29/10,13_交通(含加值),一般消費,300,國內
1271,11976,3368,12/29/10,12_量販超市,一般消費,3928,國內
1278,12797,19483,12/29/10,07_百貨,一般消費,1380,國內
1279,12797,19483,12/29/10,07_百貨,一般消費,1774,國內
1280,12797,19483,12/29/10,07_百貨,一般消費,5466,國內
1282,12989,3044,12/29/10,06_公用事業,一般消費,20,國內
1283,12989,3044,12/29/10,06_公用事業,一般消費,20,國內
1284,12989,3044,12/29/10,06_公用事業,一般消費,50,國內
1286,13013,16697,12/29/10,12_量販超市,一般消費,5306,國內
1289,13327,605,12/29/10,06_公用事業,一般消費,20,國內
1290,13327,605,12/29/10,06_公用事業,一般消費,20,國內
1291,13327,605,12/29/10,06_公用事業,一般消費,80,國內
1292,13327,605,12/29/10,06_公用事業,一般消費,80,國內
1293,13780,12964,12/29/10,06_公用事業,一般消費,2066,國外
1296,14229,4210,12/29/10,12_量販超市,一般消費,1887,國內
1298,14636,13687,12/29/10,16_無店舖,一般消費,5190,國內
1301,15130,5978,12/29/10,13_交通(含加值),一般消費,110,國內
1311,17286,17586,12/29/10,13_交通(含加值),一般消費,500,國內
1312,17286,17586,12/29/10,15_休閒文化,一般消費,686,國內
1314,17495,13863,12/29/10,15_休閒文化,一般消費,320,國內
1315,17495,13863,12/29/10,15_休閒文化,一般消費,520,國內
1317,1431,5287,12/30/10,07_百貨,一般消費,427,國內
1318,1431,5287,12/30/10,07_百貨,一般消費,668,國內
1319,1563,4612,12/30/10,13_交通(含加值),一般消費,100,國內
1332,11167,14466,12/30/10,12_量販超市,一般消費,505,國內
1337,11774,8032,12/30/10,13_交通(含加值),一般消費,300,國內
1338,11774,8032,12/30/10,13_交通(含加值),一般消費,1228,國內
1344,13579,13802,12/30/10,16_無店舖,一般消費,2280,國內
1358,1431,5287,12/31/10,07_百貨,一般消費,95,國內
1360,6826,13687,12/31/10,07_百貨,一般消費,10434,國內
1362,9387,16756,12/31/10,16_無店舖,一般消費,1990,國內
1363,9387,16756,12/31/10,16_無店舖,一般消費,1990,國內
1366,11167,14466,12/31/10,12_量販超市,一般消費,220,國內
1367,11167,14466,12/31/10,12_量販超市,一般消費,477,國內
1368,11167,14466,12/31/10,12_量販超市,一般消費,773,國內
1369,11774,8032,12/31/10,16_無店舖,一般消費,2480,國內
1388,18375,1250,12/31/10,11_3C居家電信,一般消費,4880,國內
1391,1472,5963,1/3/11,X2.中信錢加值,一般消費,500,國內
1392,1563,4612,1/3/11,13_交通(含加值),一般消費,100,國內
1396,7016,861,1/3/11,14_旅遊,一般消費,11181,國外
1401,9297,12186,1/3/11,08_精品,一般消費,2336,國內
1402,9387,16756,1/3/11,16_無店舖,一般消費,599,國內
1403,9387,16756,1/3/11,16_無店舖,一般消費,910,國內
1410,11167,14466,1/3/11,12_量販超市,一般消費,422,國內
1426,12754,3405,1/3/11,13_交通(含加值),一般消費,779,國內
1429,12989,3044,1/3/11,06_公用事業,一般消費,10,國內
1430,12989,3044,1/3/11,06_公用事業,一般消費,20,國內
1431,12989,3044,1/3/11,06_公用事業,一般消費,20,國內
1432,12989,3044,1/3/11,06_公用事業,一般消費,20,國內
1433,12989,3044,1/3/11,06_公用事業,一般消費,30,國內
1434,12989,3044,1/3/11,06_公用事業,一般消費,30,國內
1435,12989,3044,1/3/11,06_公用事業,一般消費,40,國內
1436,12989,3044,1/3/11,06_公用事業,一般消費,40,國內
1437,12989,3044,1/3/11,06_公用事業,一般消費,150,國內
1439,13327,605,1/3/11,06_公用事業,一般消費,10,國內
1440,13327,605,1/3/11,06_公用事業,一般消費,30,國內
1441,13327,605,1/3/11,06_公用事業,一般消費,60,國內
1467,16814,6402,1/3/11,07_百貨,一般消費,1116,國內
1471,17286,17586,1/3/11,13_交通(含加值),一般消費,763,國內
1478,1563,4612,1/4/11,13_交通(含加值),一般消費,100,國內
1481,6826,13687,1/4/11,12_量販超市,一般消費,899,國內
1483,7016,861,1/4/11,07_百貨,一般消費,6880,國內
1493,11167,14466,1/4/11,12_量販超市,一般消費,464,國內
1501,12989,3044,1/4/11,06_公用事業,一般消費,10,國內
1502,12989,3044,1/4/11,06_公用事業,一般消費,20,國內
1504,13327,605,1/4/11,06_公用事業,一般消費,20,國內
1505,13327,605,1/4/11,06_公用事業,一般消費,40,國內
1507,14438,4819,1/4/11,13_交通(含加值),一般消費,600,國內
1508,14630,5020,1/4/11,16_無店舖,一般消費,898,國內
1509,14636,13687,1/4/11,13_交通(含加值),一般消費,1000,國內
1510,14750,7293,1/4/11,15_休閒文化,一般消費,2500,國內
1512,15130,5978,1/4/11,13_交通(含加值),一般消費,120,國內
1515,17286,17586,1/4/11,07_百貨,一般消費,334,國內
1516,17286,17586,1/4/11,12_量販超市,一般消費,389,國內
1517,17286,17586,1/4/11,07_百貨,一般消費,560,國內
1518,17286,17586,1/4/11,07_百貨,一般消費,3340,國內
1519,17286,17586,1/4/11,08_精品,一般消費,3575,國內
1529,6448,15195,1/5/11,09_餐飲,一般消費,1280,國內
1530,6826,13687,1/5/11,12_量販超市,一般消費,1344,國內
1533,7016,861,1/5/11,14_旅遊,一般消費,980,國內
1536,8088,15580,1/5/11,11_3C居家電信,一般消費,439,國內
1545,8808,261,1/5/11,09_餐飲,一般消費,1468,國內
1546,8905,89,1/5/11,13_交通(含加值),一般消費,1545,國內
1556,9297,12186,1/5/11,08_精品,一般消費,4050,國內
1559,10646,19639,1/5/11,11_3C居家電信,一般消費,987,國內
1563,11130,19504,1/5/11,07_百貨,一般消費,750,國內
1579,12989,3044,1/5/11,06_公用事業,一般消費,20,國內
1580,12989,3044,1/5/11,06_公用事業,一般消費,30,國內
1582,13327,605,1/5/11,06_公用事業,一般消費,20,國內
1583,13327,605,1/5/11,06_公用事業,一般消費,60,國內
1584,13327,605,1/5/11,06_公用事業,一般消費,60,國內
1588,14229,4210,1/5/11,12_量販超市,一般消費,1216,國內
1590,14554,89,1/5/11,12_量販超市,一般消費,1952,國內
1611,6826,13687,1/6/11,02_學費/教育,一般消費,4860,國內
1612,6826,13687,1/6/11,08_精品,一般消費,21140,國內
1615,8143,131,1/6/11,13_交通(含加值),一般消費,1249,國內
1619,9338,10195,1/6/11,05_捐贈,一般消費,300,國內
1620,9387,16756,1/6/11,16_無店舖,一般消費,4404,國內
1622,10102,6256,1/6/11,06_公用事業,一般消費,331,國內
1623,10102,6256,1/6/11,06_公用事業,一般消費,1490,國內
1626,10646,19639,1/6/11,06_公用事業,一般消費,1174,國內
