信用卡ID,客戶ID,信用卡開卡日,信用卡到期日,信用額度,卡等
7816,4874,9/18/02,9/30/16,265000,白金卡
7819,5425,9/18/02,9/30/16,250000,白金卡
7896,179,9/23/02,9/30/16,360000,白金卡
8006,867,10/11/02,10/31/13,210000,白金卡
8088,15580,10/25/02,11/30/16,200000,白金卡
8117,1896,10/31/02,10/31/13,200000,白金卡
8143,131,11/7/02,12/31/16,310000,白金卡
8168,4028,11/14/02,12/31/16,200000,白金卡
8225,6143,11/27/02,3/31/16,240000,白金卡
8249,6687,12/2/02,11/30/16,200000,白金卡
8297,8454,12/5/02,11/30/16,600000,白金卡
8485,773,11/21/03,6/30/16,200000,白金卡
8675,17586,5/7/04,5/31/07,260000,白金卡
8775,10195,5/5/04,5/31/13,185000,白金卡
8808,261,10/13/03,2/28/17,310000,白金卡
8811,14127,11/12/03,2/28/17,270000,白金卡
8905,89,11/27/03,6/30/17,280000,白金卡
8915,1809,11/18/04,11/30/15,150000,白金卡
8961,8454,11/14/03,3/31/16,260000,白金卡
9255,6527,4/22/04,4/30/15,210000,白金卡
9297,12186,2/2/04,2/28/15,200000,白金卡
9338,10195,5/4/04,5/31/13,185000,白金卡
9387,16756,6/5/03,10/31/16,200000,白金卡
9472,1611,9/17/03,12/31/17,210000,白金卡
9556,17027,12/13/04,12/31/15,210000,白金卡
9592,7250,6/29/04,6/30/15,250000,白金卡
9625,4028,1/3/03,7/31/17,200000,白金卡
9691,9209,6/30/04,6/30/15,160000,白金卡
9757,5286,11/25/04,11/30/15,400000,白金卡
9950,10195,5/5/04,3/31/14,185000,白金卡
10102,6256,12/15/03,6/30/17,280000,白金卡
10205,13546,9/29/04,3/31/16,80000,白金卡
10646,19639,12/3/04,12/31/15,175000,白金卡
10740,17190,12/27/02,11/30/16,300000,白金卡
10745,106,11/10/03,11/30/13,245000,白金卡
10883,8831,8/11/06,8/31/13,250000,白金卡
10976,2955,4/13/05,4/30/16,220000,白金卡
11053,15580,11/26/07,11/30/13,200000,白金卡
11069,8032,10/23/07,10/31/14,140000,白金卡
11130,19504,5/2/08,5/31/14,235000,白金卡
11167,14466,4/30/07,4/30/14,120000,白金卡
11249,8831,1/26/06,8/31/16,250000,白金卡
11518,5020,12/11/06,5/31/17,20008,白金卡
11774,8032,12/5/07,10/31/17,140000,白金卡
11796,867,9/15/08,9/30/14,210000,白金卡
11921,17157,8/29/05,8/31/16,200000,白金卡
11976,3368,11/2/07,11/30/14,185000,白金卡
12077,6118,6/26/07,5/31/17,250000,白金卡
12125,17260,12/18/08,12/31/14,235000,白金卡
12193,10121,9/3/08,9/30/14,100000,白金卡
12371,6143,10/30/06,10/31/14,100000,白金卡
12573,17586,4/20/07,4/30/13,260000,白金卡
12596,4493,2/13/09,2/28/14,100000,白金卡
12754,3405,12/16/05,12/31/14,200000,白金卡
12797,19483,9/25/08,9/30/14,100000,白金卡
12820,1896,9/28/07,9/30/14,200000,白金卡
12956,14127,2/15/05,9/30/16,270000,白金卡
12989,3044,1/27/05,5/31/16,230000,白金卡
13013,16697,2/2/05,7/31/16,240000,白金卡
13172,14690,1/12/05,1/31/16,200000,白金卡
13174,9988,8/22/05,8/31/13,200000,白金卡
13214,7437,4/21/05,4/30/14,200000,白金卡
13231,3359,12/24/07,12/31/13,195000,白金卡
13252,867,5/22/08,5/31/14,210000,白金卡
13320,4874,12/3/08,12/31/14,265000,白金卡
13327,605,1/6/05,3/31/17,250000,白金卡
13388,3359,3/30/05,3/31/16,195000,白金卡
13513,9125,2/16/07,2/28/15,110000,白金卡
13579,13802,8/30/07,8/31/14,120000,白金卡
13616,4263,10/16/08,10/31/16,90000,白金卡
13780,12964,9/28/07,9/30/14,100000,白金卡
14044,9125,12/7/06,7/31/16,110000,白金卡
14229,4210,5/29/08,5/31/14,200000,白金卡
14240,15933,12/18/07,12/31/13,180000,白金卡
14318,19859,11/19/07,11/30/14,240000,白金卡
14411,1314,9/1/06,10/31/17,130000,白金卡
14438,4819,12/7/05,7/31/16,160000,白金卡
14554,89,1/11/05,4/30/16,280000,白金卡
14630,5020,4/18/05,4/30/16,20008,白金卡
14636,13687,8/18/08,8/31/14,270000,白金卡
14750,7293,11/27/06,3/31/16,200000,白金卡
15130,5978,1/20/10,1/31/15,150000,白金卡
15147,18700,6/29/09,6/30/15,60000,白金卡
15180,920,3/5/10,3/31/16,30000,白金卡
15250,6527,7/1/11,7/31/16,210000,白金卡
15473,6161,7/1/10,7/31/16,160000,白金卡
15489,12967,4/25/11,4/30/16,100000,白金卡
15713,15195,9/21/10,9/30/16,200000,白金卡
15957,1314,10/26/10,10/31/16,130000,白金卡
16097,8927,7/30/09,7/31/15,100000,白金卡
16223,16848,5/18/11,5/31/16,50000,白金卡
16285,6527,3/2/11,3/31/16,210000,白金卡
16441,6143,7/26/11,4/30/16,100000,白金卡
16711,5196,5/20/11,5/31/16,60000,白金卡
16814,6402,4/20/10,4/30/16,35000,白金卡
17200,15353,1/13/11,1/31/16,75000,白金卡
17286,17586,1/26/10,1/31/15,260000,白金卡
17332,1467,4/29/09,4/30/15,140000,白金卡
17495,13863,1/29/10,1/31/15,95000,白金卡
17549,5969,8/11/11,8/31/16,60000,白金卡
17660,2762,7/26/11,1/31/16,80000,白金卡
17681,7327,7/5/10,7/31/16,210000,白金卡
17706,10121,7/25/11,1/31/16,100000,白金卡
17746,17586,3/14/12,3/31/17,260000,白金卡
18077,14422,9/4/12,9/30/17,130000,白金卡
18113,6312,7/4/12,7/31/17,70000,白金卡
18122,3219,7/23/12,7/31/17,150000,白金卡
18135,5196,8/15/12,8/31/17,60000,白金卡
18162,11368,11/26/01,11/30/15,18008,白金卡
18174,1747,8/23/02,8/31/13,300000,白金卡
18345,10699,11/4/04,11/30/15,270000,白金卡
18375,1250,8/23/02,8/31/16,615000,白金卡
18415,19239,11/12/03,11/30/13,170000,白金卡
18653,9051,9/19/02,11/30/15,500000,白金卡
18713,8831,2/15/05,3/31/14,250000,白金卡
18868,7437,4/21/05,4/30/15,200000,白金卡
18962,867,9/15/08,11/30/15,210000,白金卡
19321,12186,2/2/04,9/30/19,200000,白金卡
19609,8454,1/1/89,2/28/15,600000,普卡
19652,15649,1/15/92,1/31/16,280000,普卡
19692,4874,5/27/93,5/31/01,265000,普卡
19739,3359,6/22/94,6/30/02,195000,普卡
19787,15580,4/11/95,4/30/15,200000,普卡
19817,10195,9/1/95,9/30/98,0,普卡
19910,5425,10/18/96,7/31/16,250000,普卡
20558,5196,9/15/10,9/30/16,60000,普卡
20825,10195,9/1/95,9/30/04,185000,普卡
21094,3368,5/12/93,5/31/15,185000,普卡
21242,12967,3/31/05,3/31/16,100000,普卡
21290,15580,1/13/04,1/31/15,200000,普卡
21471,6402,7/28/04,7/31/15,35000,普卡
21593,6475,3/6/00,1/31/17,55000,普卡
21970,2762,10/19/11,10/31/17,80000,普卡
22299,18700,9/22/09,9/30/15,60000,普卡
22394,5978,7/30/09,7/31/15,150000,普卡
22512,5969,10/21/03,11/30/17,60000,普卡
25296,2762,12/27/07,12/31/13,80000,普卡
25373,15353,6/7/10,6/30/16,75000,普卡
25582,16848,7/20/09,7/31/15,50000,普卡
25675,18700,9/22/09,9/30/15,60000,普卡
25897,2762,4/16/04,4/30/15,80000,普卡
26855,6143,5/10/05,5/31/14,100000,普卡
26887,2762,12/27/07,12/31/13,80000,普卡
26968,6143,11/28/05,12/31/16,100000,普卡
27175,3368,7/31/00,7/31/03,100000,普卡
27370,3219,4/23/09,7/31/17,150000,普卡
27618,13863,7/8/05,7/31/16,95000,普卡
27645,3368,7/31/00,7/31/03,100000,普卡
27647,3368,7/31/00,6/30/17,100000,普卡
27980,11368,8/7/98,8/31/15,18008,金卡
28283,16697,4/30/01,4/30/15,240000,金卡
28335,1958,5/29/02,5/31/16,240000,金卡
29741,773,3/20/03,1/31/17,200000,金卡
30001,1958,11/10/03,7/31/17,240000,金卡
30656,19639,3/2/00,3/31/03,175000,金卡
30839,14422,6/4/08,6/30/14,130000,金卡
31109,10154,8/8/08,8/31/14,660000,金卡
31511,5020,1/30/04,1/31/15,20008,金卡
31736,6475,5/4/09,5/31/15,50000,金卡
31842,18841,10/7/08,10/31/14,250000,金卡
32449,8927,1/18/05,1/31/14,110000,金卡
33505,4493,6/4/08,6/30/14,100000,金卡
34181,10121,2/2/07,2/28/15,100000,金卡
34962,7437,9/16/02,5/31/14,200000,金卡
35458,1467,4/29/09,4/30/15,140000,鈦金卡
35855,9125,2/17/09,8/31/16,110000,鈦金卡
36031,17027,3/26/12,3/31/17,210000,鈦金卡
36214,2027,9/22/09,9/30/15,500000,鈦金卡
36235,1896,10/22/12,10/31/17,200000,鈦金卡
36467,10195,6/10/08,2/28/15,185000,鈦金卡
36515,131,4/1/11,4/30/16,310000,鈦金卡
36618,17190,12/1/09,12/31/15,300000,鈦金卡
36948,15580,2/8/96,2/28/02,200000,金卡
37411,15580,2/8/96,2/29/16,200000,金卡
37634,6402,12/13/02,3/31/16,35000,金卡
37738,7437,2/18/04,2/28/15,200000,金卡
37977,15649,8/16/00,4/30/17,280000,金卡
39069,19859,4/7/98,4/30/04,240000,普卡
39136,4493,12/1/99,12/31/02,100000,普卡
40059,3405,11/16/01,11/30/15,120000,普卡
40611,6312,7/8/02,7/31/16,70000,普卡
41068,2027,5/25/10,5/31/18,500000,鼎極卡
41216,2027,10/20/04,10/31/15,500000,白金卡
41262,605,2/7/03,2/28/13,250000,白金卡
41329,15649,4/3/03,3/31/17,280000,白金卡
42091,15195,10/9/03,10/31/13,200000,白金卡
42193,19859,5/21/04,5/31/15,240000,白金卡
42392,16756,6/5/03,10/31/17,200000,白金卡
42447,5978,6/15/10,6/30/16,150000,白金卡
42480,261,10/13/03,7/31/17,310000,白金卡
42523,15580,4/15/03,8/31/17,200000,白金卡
42903,19859,10/3/05,11/30/16,240000,白金卡
43022,5020,4/18/05,4/30/16,20008,白金卡
43184,7437,4/21/05,4/30/14,200000,白金卡
43213,6143,12/12/03,12/31/14,240000,白金卡
43293,861,12/3/02,4/30/15,420000,白金卡
43395,605,2/7/03,4/30/16,250000,白金卡
